,review,stars,date,country
0,"✅ Trip Verified |   Although we had mobile boarding passes and no checked luggage we still had to go to check in counter. The departure was delayed by an hour. The food on this flight was bad. There was a lot of clunking noise from the galley throughout the flight. A lot movies available but they are not organized by abc so it’s difficult to search. BA charges a lot to pick a seat, that’s unfortunate.",5,26th July 2025, (United States) 
1,"✅ Trip Verified |   Booking through the British Airways website was straightforward, with clear options for baggage, seat selection, and meal preferences. Online check-in opened 24 hours prior to departure and the mobile boarding pass was easily accessible via the BA app. The A320 although 18 years old was clean and well-maintained, though the cabin shows signs of age compared to some newer fleets. Overhead storage was ample for a full flight. The crew were friendly, professional, and efficient. Despite the short flight time, service included a complimentary meal and a choice of tea, coffee, or water—standard for BA’s short-haul business service. Crew maintained a calm and courteous demeanor throughout.",9,25th July 2025, (United Kingdom) 
2,"✅ Trip Verified |  Abysmal experience with flight initially delayed then cancelled. Rebooked by BA onto another flight. BA staff totally disorganised at original boarding gate and then again at gate for rebooked flight. They still tried to do their ridiculous “boarding group” procedure even though they didn’t make any announcements, which just led to staff telling off other customers for being in the wrong place or in the wrong queue. Good on the lady customer who remarked “I’m not a mind reader” to the impudent BA gate staff at Terminal 5. A complete shambles. British Airways should be ashamed.",2,23rd July 2025, (United Kingdom) 
3,"✅ Trip Verified |  Check in at Miami was quick and easy. American Airlines lounge near gate D30 was excellent. Flight boarded on time. A380 club world upper deck. Aircraft old and very worn. They were down 2 crew members. Unfortunately given the fact that crew numbers are already at minimum, an event like this can only be managed by cuts to in flight service. Since these were only average at best, the result was a poor experience. No drinks service, meal poorly presented with low cost ingredients. My daughter’s meal of pasta and salad did not meet my expectations for premium level dining. My meal was similarly uninspired. The crew were not experienced. The seat ( both mine and my daughters) did not work and had to be manually adjusted by crew. The IFE screen did not work which is not uncommon on the A380 given its age. The cabin was hot and uncomfortable. Toilets clean and well stocked. Breakfast on board offered and of reasonable quality. On time arrival, baggage off quickly. Arrivals lounge had long queue for showers, food was good. Unfortunately, this experience was not adequate, these are expensive tickets and I expected better. Even the cabin of the A380 is a shadow of its former glory. Where once stood magazines that one could read ( useful if the IFE broken) they now stuff the racks at the front of the club cabin with airlock bags and paper towels. I’ll be flying with American next time. Not because they are brilliant but because BA have slipped below the standards of the North American carriers.",4,22nd July 2025, (United Kingdom) 
4,"✅ Trip Verified |  Our BA Airbus 380 premium economy section had outdated-looking personal videos. And unfortunately, halfway through a 10-hour flight, the video systems for all of the center seats of the premium economy section stopped working. Staff couldn't resolve the issue, got everyone's names and said there would be something sent to make up for the loss. We ended up getting 20 pounds per person! Given the amount one pays for premium economy, and that the personal entertainment system is a material part of the experience, and given the length of the flight and associated outage, the compensation was token. I would beware folks particularly for BA A380 flights - its pretty old gear and little sense of value for passengers' loss of services. (My 777 plane on the roundtrip was far better.) Staff were competent though not warm. Flight was on time. Food was passable. Leg space is the main value (and that presumably they cannot botch midflight!). I will say I recommend BA, but based on the entire roundtrip, not just this flight, and with the caveat that one could find better, and unfortunately worse.",6,17th July 2025, (United States) 
5,"✅ Trip Verified |   Check in and security were quick and efficient Galleries North lounge was not too busy and it’s clear that changes to their loyalty scheme have translated into less lounge footfall. Their breakfast offering was of a reasonable quality. Flight delayed by 30 minutes. Boarding (it was a full flight) was well organised. On board usual welcome and old style business class seats. Once airborne drinks and snacks and then lunch. This was fine, prawn based starter and chicken main. Food was ok, nothing dreadful and nothing exceptional either. The same can be said for the accompanying wines. Cabin crew for our section were ok, again, average. Slept for a few hours. IFE was good though small screen. Afternoon tea was ok. It seems British airways have a new take on the “traditional “ British cream tea in that they substituted the clotted cream for butter. The scones were ok. On time arrival and baggage off in reasonable time.",7,10th July 2025, (United Kingdom) 
6,"Not Verified | I recently flew business class with British Airways, and I must say that these seats are not business class by any standard. The product is outdated, uncomfortable, and absolutely not worth the premium price. What was marketed as a “Club World” experience felt more like an economy or premium economy seat with a higher price tag. The seat was narrow, had almost no privacy, and didn’t even fully recline properly. The cabin looked worn down, the service was inconsistent, and the overall experience felt like a rip-off. I’ve flown true business class with other airlines, and this simply doesn’t compare. British Airways should stop misleading customers with images and promises that don’t match reality. I feel cheated. For the price I paid, I expected luxury, not this tired and fake version of “business class.”",1,5th July 2025, (United States) 
7,"Not Verified | They lost my bag and took 20 days to find it. The entire time their customer service was incompetent giving me consistently incorrect information which would change with every call. Customer service representatives were  rude and not helpful to me. Flight was below average, my food was not good and seats were tight.",1,4th July 2025, (India) 
8,"Not Verified |  Paid to upgrade to business class as family of 4 and I was very disappointed. The airport lounge in Heathrow was a great size but food was pretty simple for breakfast. When it came to boarding there was no priority boarding. After take off we were served our meals which were good, but there were people from premium economy coming in and out of the cabin, using the toilets in business class. Then after food the Flight attendant said they will come a couple of hours before landing and should they wake us up? After that they disappeared for 7 hours and came back before landing. During this time, premium economy people were in and out of business class helping themselves to drinks and snacks from the service area. Never seen anything like it and won’t be wasting money on business class with British Airways again.",1,23rd June 2025, (United Kingdom) 
9,"Not Verified |  Decided to use point to upgrade to business after visiting family in the UK. I have to say British Airways Business Class was up there with the best of them. Comfortable seating, great service from the crew and with a smile, and great food. On the whole I found the experience comfortable and worth the points upgrade and will consider flying them again.",8,23rd June 2025, (Australia) 
10,✅ Trip Verified |   Mumbai check in is not so helpful. I asked to put my Alaska frequent flyer and he only put the first leg. I was not able to get an aisle seat . Boarding in Mumbai was chaotic. ,5,23rd June 2025, (United States) 
11,✅ Trip Verified |   BA First lounge at T5 very busy as usual. Flight departed early and arrived 20 min ahead of schedule. Flight uneventful; good catering for this 45 min flight; recommended,9,18th June 2025, (Germany) 
12,"✅ Trip Verified |   Terrible experience. No respect to priority boarding, crowded buses to take us to plane, without to mention the waiting time we had to wait inside the switched off bus with NO air conditioning. ",1,14th June 2025, (United Kingdom) 
13,"✅ Trip Verified | I know BA often comes under criticism for its onboard service but I would like to share my extremely positive experience of flying from São Paulo to Manchester via London. Firstly, I love their A350 'Club Suite' which is definitely one of the best seats out there. Secondly, both flights in my itinerary departed on time. Thirdly, the food onboard was very good and I was amazed to see a choice of meals available on the quick half hour hop between London and Manchester - Lufthansa, Air France etc do not offer a choice even on much longer intra Europe sectors. Finally, I received excellent service from the cabin crew on both flights. On the São Paulo to London flight several of the crew members were Brazilian which was nice to see as many of those travelling in the business cabin had limited English. However the standout crew member for me was 'Stuart' the purser on BA1370 London - Manchester, 4th June. He came and spoke to EVERY single business class passenger on the short hop to Manchester and showed genuine interest asking them about their travel plans etc. All in all I could not fault BA.",8,4th June 2025, (United Kingdom) 
14,"✅ Trip Verified |    My recent experience with British Airways' customer service has been nothing short of infuriating, particularly when booking through a travel agency. Their immediate response is to tell you to call the travel agency for any changes, even when that agency states they can't access or modify the ticket. It's a cycle of being bounced between parties, with neither taking responsibility. What's truly baffling is that I paid $600 for a flexible flight, and British Airways charged my card – not the travel agency platform. To add insult to injury, I purchased seats separately on the British Airways website, and they still refused to help with that refund. It's clear they are quick to turn you away, unwilling to do their due diligence to understand the situation or listen to feedback. After multiple calls and speaking with various unhelpful representatives, I finally gave up. I've now resorted to filing a dispute with my credit card company, which speaks volumes about the breakdown in their customer support.",3,4th June 2025, (United States) 
15,"Not Verified |  This recent long-haul experience was disappointing. The customer service during boarding was poor, and things only declined from there. The aircraft felt outdated, with uncomfortable seats and no amenity kits — basic comforts you’d normally expect on a long-haul flight. The food quality was subpar, and the service was minimal, with just one proper drinks round for the entire journey and only warm juice offered afterwards. It’s clear that cost-cutting measures at BA are impacting the passenger experience far too much.",2,27th May 2025, (United Kingdom) 
16,"✅ Trip Verified |   Check-in was slow with only one staff member checking in economy class in the initial period. After passport control, in the security check area, the flight was shown as cancelled. Back we, and others, went to the check-in counter where the staff seemed uninterested in the confusion caused. ""It's not cancelled,"" they said, ""Go back to security""  where the flight was still shown as cancelled. Once aboard the cancelled but not cancelled flight the seats were wide enough but legroom was limited. Water and an oat bar were served. The flight arrived on time and baggage appeared promptly.",6,20th May 2025, (Australia) 
17,"Not Verified |  Check in was smooth enough. Boarding was chaotic. We were herded through the gate only to be held for a seemingly never ending period of time outside next to the apron. We are BA silver members and noticed that despite business class being nearly empty we were not offered the chance to move up a class. The seat pocket in front of me full of the previous passenger's rubbish.  On arrival at Heathrow, our bags took a long time to reach the belt and plenty arrived before ours even though ours were supposed to be priority.",4,18th May 2025, (United Kingdom) 
18,"✅ Trip Verified | Although transferring to this flight through Heathrow from Budapest took almost an hour, the flight crew was welcoming and friendly as we boarded at the last minute. I had tried to reserve a vegetarian meal online the day before the flight but couldn't, and asked Sarah, the head flight attendant, if they might be able to provide one. She not only found a delicious meal from Premium, Economy, but was especially caring and helpful throughout the flight. The flight attendants also offered water and juice several times during the flight. I was also impressed with the wide range of entertainment offerings, which included some first-rate films.",8,15th May 2025, (United States) 
19,"✅ Trip Verified |   We are extremely grateful to the crew of flight BA0058 from Cape Town to Heathrow. They brought us home with such a high level of professionalism, flexibility, and empathy.  Thank you so much. ",10,8th May 2025, (Switzerland) 
20,"✅ Trip Verified |   I had an appalling experience with British Airways. It started when I tried to check in online but couldn’t change my seat due to repeated website errors. I arrived at the airport 4 hours early to sort it out, but the staff at the check-in counter refused to help me—brushing me off before I could even say which flight I was on, simply saying all flights were full. Incredibly rude and unprofessional. The BA lounge was overcrowded, uncomfortable, and poorly equipped—wooden utensils only and very limited seating. Shortly before boarding, I was struck with excruciating abdominal pain. Fearing a medical emergency, I asked to be offloaded. Staff at the boarding gate took my boarding pass and luggage tag, asked me to wait, and then left me sitting there in agony for 40 minutes. I eventually asked to leave to go to hospital—staff said it was fine. However, in my distress, I didn’t realise that they had taken my boarding pass with the baggage reference on it. I asked a group of wheelchair porters heading in my direction for help. None assisted me. I collapsed midway and was finally stretchered away by medics and taken to hospital. Thankfully, I received treatment and have now returned home. Since then, I’ve been trying to retrieve my luggage. Every number I’ve tried—online, via the airport, and through customer service—is either unreachable, goes to voicemail, or simply rings out. I have no idea where my bag is, and no one is helping. This is completely unacceptable from an international airline. British Airways has failed at every stage: technical support, in-person service, medical handling, and post-flight care.  ",3,29th April 2025, (South Africa) 
21,"Not Verified |  Good points, the cabin crew, they were helpful, professional and mature, Quantity and quality of food, cleanliness of the aircraft which was spotless Picture of a pub in the forward toilet and the flight was on time. BA's T3 lounge is just not anything special, mediocre at best, food options lacking, its Gatwick & T5 lounges are far more superior. On board usual poor seat pitch, the Club Europe product is inconsistent, no hot towels, menu given however food delivered on a trolley in the economy way, all the courses on one tray. No further bar offerings unless one used the call bell. Parked on remote stand at Krakow. On return Krakow - LHR Queued for twenty minutes at the Club Europe check in desk, the non-BA lounge was basic and at the late departure time of the flight, minimal food choices. On boarding Cramped into a bus and walked up on remote stand. No menus or hot towels, however meal orders taken individually and delivered direct from the Galley, seat uncomfortable, no wi-fi. Had to request tea after meal. Again inconsistency in service. The extra cost of Club Europe is hard to justify, there have been improvements in catering, however the product needs to be elevated to justify the cost.",6,22nd April 2025, (United Kingdom) 
22,"Not Verified |  It was a decent flight, reasonable comfortable seat and pilot kept us nicely informed about the flight's progress. BA serve biscuits and a small bottle of water for free. This was ok for me but sandwiches had run out from the in-flight cafe to the disappointment of passengers. Inflight wifi is limited and you have to pay to access music or programmes. BA's offering is well below that of Aegean and this level of service is not suitable for easterly destinations such as Larnaca. So I would certainly fly again with BA to Athens but only in the event Aegean has no seats or the fare is cheaper.",6,22nd April 2025, (United Kingdom) 
